Year,PS_Catch,PS_Effort,RV_4VWX,RV_SWNSBoF,AI_SWNSBoF,AI_SS,AI_ES
1968,171872,NA,NA,NA,NA,NA,NA
1969,117534,NA,NA,NA,NA,NA,NA
1970,152516,NA,NA,NA,NA,NA,NA
1971,96306,NA,NA,NA,NA,NA,NA
1972,122757,NA,NA,NA,NA,NA,NA
1973,90781,NA,NA,NA,NA,NA,NA
1974,144462,NA,NA,NA,NA,NA,NA
1975,110510,NA,NA,NA,NA,NA,NA
1976,104505,NA,NA,NA,NA,NA,NA
1977,81334,1879,NA,NA,NA,NA,NA
1978,95210,2079,NA,NA,NA,NA,NA
1979,39864,1176,135616,14790,NA,NA,NA
1980,82569,1889,142440,31472,NA,NA,NA
1981,110576,2167,151218,53349,NA,NA,NA
1982,106400,2080,205146,29167,NA,NA,NA
1983,126557,2009,266140,6578,NA,NA,NA
1984,127181,1790,152127,24197,NA,NA,NA
1985,135642,1789,170209,11164,NA,NA,NA
1986,131087,1583,969395,162714,NA,NA,NA
1987,134034,1978,957592,40753,NA,NA,NA
1988,165156,2163,141478,30156,NA,NA,NA
1989,140687,2198,512359,36623,NA,NA,NA
1990,172907,2390,468540,23307,NA,NA,NA
1991,132356,2333,467594,21598,NA,NA,NA
1992,130555,2418,696792,81519,NA,NA,NA
1993,100254,2542,1059048,158396,NA,NA,NA
1994,75652,2227,1500851,62463,NA,NA,NA
1995,56338,1678,945317,65061,NA,NA,NA
1996,47330,1585,339181,74929,NA,NA,NA
1997,42984,1511,343843,114211,NA,NA,NA
1998,71672,2355,652534,60956,NA,14100,8300
1999,73482,1821,1977057,839468,452197,15800,20200
2000,83159,1694,859276,52241,443637,5200,10900
2001,66005,1703,1310003,420273,404176,21300,16700
2002,77511,1913,1269975,299737,455631,56000,41500
2003,85763,2148,747461,168133,362626,53100,92600
2004,72538,1536,2192196,140358,431807,22500,28400
2005,44378,1123,570752,209148,239385,44700,36950
2006,46451,980,859204,106600,284839,24100,68900
2007,48335,1034,591559,297908,489628,2800,28300
2008,52644,1132,319433,73638,236892,14500,30300
2009,53063,1309,427582,148671,401707,36600,54200
2010,44019,1286,805676,99410,254625,26700,27700
2011,47571,1010,1008897,302959,380676,28796,5498
2012,46256,927,731135,241318,386759,12756,3668
2013,46310,986,1129488,284617,275009,74532,6870
2014,47813,849,1278397,291315,380885,46077,9586
2015,47462,819,702337,120094,389523,145395,68562
2016,48178,869,1070386,372978,264147,61408,54312
2017,39199,648,751923,346429,307759,66815,58681
2018,39665,596,464872,155146,234520,168164,42416
2019,26603,499,581238,169087,280470,92019,141198
2020,32871,553,1269706,39752,296144,42671,35835
