"","age","M_age","w_age","m_age","v_age"
"1",0,0.35,0,0,2.50587826659951e-08
"2",1,0.35,14.5141761358849,0.0054683991579589,0.0362619191314303
"3",2,0.35,42.2316921673861,0.0363486534432861,0.442038807084495
"4",3,0.35,100.220341134515,0.391114655126842,0.953383075836302
"5",4,0.35,154.385226585959,0.885678020126473,0.971243836381858
"6",5,0.35,195.637931916474,0.984108285285535,0.98163231396893
"7",6,0.35,229.635088002342,0.996532369078214,0.979759308829527
"8",7,0.35,258.843108246047,0.998976731228608,0.973618624314214
"9",8,0.35,284.09739334217,0.999664073930523,0.965969679002677
"10",9,0.35,304.429102114741,0.999885245556338,0.95949060754709
"11",10,0.35,319.882383827487,0.999960035517785,0.954748332164095
"12",11,0.35,335.993044231645,0.999985926188963,0.951256923690879
